
2024/09/23 (15:45:58) | ===> btop++ v.1.3.2
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/09/23 (15:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
